pc       (rd rd  wdata   ) (wen wadd     wdata    | radd    )
0000021c (10  a0 000007b0) (000 00000000 00000000 | 00000000)
00000224 (10  a0 00000228) (000 00000000 00000000 | 00000000)
00000228 (10  a0 0000075c) (000 00000000 00000000 | 00000000)
0000022c (01  ra 00000234) (000 00000000 00000000 | 00000000)
00000230 (11  a1 0000075c) (000 00000000 00000000 | 00000000)
000007b0 (13  a3 00000000) (000 00000000 00000000 | 00000000)
000007b4 (12  a2 00000000) (000 00000000 00000000 | 00000000)
000007b8 (10  a0 00000000) (000 00000000 00000000 | 00000000)
000007c0 (15  a5 00030000) (000 00000000 00000000 | 00000000)
000007c4 (14  a4 00030200) (000 00000000 00000000 | 00030638)
000007c8 (15  a5 0003034c) (000 00000000 00000000 | 00030348)
000007d0 (14  a4 00000000) (000 00000000 00000000 | 00030350)
000007d4 (16  a6 0000001f) (000 00000000 00000000 | 00000000)
000007dc (16  a6 00000000) (000 00000000 00000000 | 00000000)
000007e4 (14  a4 00000001) (000 00000000 00000000 | 00000000)
00000810 (00 000 00000000) (100 00030350 00000001 | 00000000)
00000814 (15  a5 0003034c) (000 00000000 00000000 | 00000000)
00000818 (00 000 00000000) (100 00030354 0000075c | 00000000)
0000081c (10  a0 00000000) (000 00000000 00000000 | 00000000)
00000824 (01  ra 00000238) (000 00000000 00000000 | 00000000)
00000234 (02  sp 0002efe0) (000 00000000 00000000 | 00000000)
000004d0 (00 000 00000000) (100 0002efe8 00000000 | 00000000)
000004d4 (00 000 00000000) (100 0002efe0 00000000 | 00000000)
000004d8 (15  a5 00000000) (000 00000000 00000000 | 00000000)
000004dc (18  s2 00000000) (000 00000000 00000000 | 00000000)
000004e0 (18  s2 00000000) (000 00000000 00000000 | 00000000)
000004e4 (00 000 00000000) (100 0002efec 00000238 | 00000000)
000004e8 (00 000 00000000) (100 0002efe4 00000000 | 00000000)
000004ec (18  s2 00000000) (000 00000000 00000000 | 00000000)
000004f4 (15  a5 00000000) (000 00000000 00000000 | 00000000)
00000514 (18  s2 00000000) (000 00000000 00000000 | 00000000)
00000518 (18  s2 00000000) (000 00000000 00000000 | 00000000)
0000051c (18  s2 00000000) (000 00000000 00000000 | 00000000)
00000524 (01  ra 00000238) (000 00000000 00000000 | 0002efec)
00000544 (08  s0 00000000) (000 00000000 00000000 | 0002efe8)
00000548 (09  s1 00000000) (000 00000000 00000000 | 0002efe4)
0000054c (18  s2 00000000) (000 00000000 00000000 | 0002efe0)
00000550 (02  sp 0002eff0) (000 00000000 00000000 | 00000000)
00000558 (10  a0 00000000) (000 00000000 00000000 | 0002eff0)
00000238 (11  a1 0002eff4) (000 00000000 00000000 | 00000000)
0000023c (12  a2 00000000) (000 00000000 00000000 | 00000000)
00000240 (01  ra 00000248) (000 00000000 00000000 | 00000000)
00000244 (02  sp 0002efe0) (000 00000000 00000000 | 00000000)
00000898 (10  a0 0000089c) (000 00000000 00000000 | 00000000)
0000089c (10  a0 000008dc) (000 00000000 00000000 | 00000000)
000008a0 (00 000 00000000) (100 0002efec 00000248 | 00000000)
000008a4 (01  ra 000008ac) (000 00000000 00000000 | 00000000)
000008a8 (02  sp 0002ef10) (000 00000000 00000000 | 00000000)
000002b4 (00 000 00000000) (100 0002efb4 00000000 | 00000000)
000002b8 (00 000 00000000) (100 0002efbc 00000000 | 00000000)
000002bc (00 000 00000000) (100 0002efb8 00000000 | 00000000)
000002c0 (00 000 00000000) (100 0002efb0 00000000 | 00000000)
000002c4 (00 000 00000000) (100 0002efac 00000000 | 00000000)
000002c8 (00 000 00000000) (100 0002efc4 0002eff4 | 00000000)
000002cc (00 000 00000000) (100 0002efc8 00000000 | 00000000)
000002d0 (00 000 00000000) (100 0002efcc 00000000 | 00000000)
000002d4 (00 000 00000000) (100 0002efd0 00000001 | 00000000)
000002d8 (00 000 00000000) (100 0002efd4 00000000 | 00000000)
000002dc (00 000 00000000) (100 0002efd8 00000000 | 00000000)
000002e0 (00 000 00000000) (100 0002efdc 0000005d | 00000000)
000002e4 (15  a5 00000048) (000 00000000 00000000 | 000008dc)
000002e8 (18  s2 0002efc4) (000 00000000 00000000 | 00000000)
000002ec (00 000 00000000) (100 0002ef1c 0002efc4 | 00000000)
000002f4 (30  t5 40000000) (000 00000000 00000000 | 00000000)
000002f8 (11  a1 000001f0) (000 00000000 00000000 | 00030640)
000002fc (06  t1 00000025) (000 00000000 00000000 | 00000000)
